A2BBX6,A,B1,B2,X,A_atomic_number,A_boiling_point,A_electron_affinity,A_electronegativity,A_first_ionization_energy,A_melting_point,A_second_ionization_energy,A_thermal_conductivity,A_third_ionization_energy,A_van_der_waals_radius,B1_atomic_number,B1_boiling_point,B1_electron_affinity,B1_electronegativity,B1_first_ionization_energy,B1_melting_point,B1_second_ionization_energy,B1_thermal_conductivity,B1_third_ionization_energy,B1_van_der_waals_radius,B2_atomic_mass,B2_boiling_point,B2_electron_affinity,B2_electronegativity,B2_first_ionization_energy,B2_ionic_radius,B2_thermal_conductivity,B2_third_ionization_energy,B2_van_der_waals_radius,X_atomic_mass,X_electron_affinity,X_electronegativity,X_second_ionization_energy,X_thermal_conductivity,X_third_ionization_energy,octahedral_factor,tolerance_factor,formation_energy
Nd2LiRuO6,Nd,Li,Ru,O,0.7125,0.8841215158158471,0.4038054841926763,0.22727272727272718,0.24740613299065428,0.6285518253010622,0.011871088776508942,0.039007455254511776,0.028202778287671065,0.388235294117647,0.0,0.21391085815655256,0.35407003805541326,0.08695652173913038,0.19249952457049335,0.06338927609602737,1.0,0.19723383066054856,0.7666114796583301,0.19333333333333336,0.39706992773950783,0.7497750398006506,0.4076839369792677,0.5059760956175299,0.26199183787483904,0.25988700564971756,0.2790548455537801,0.06897844070214199,0.6288659793814433,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.29518072288605024,0.48892762044829696,-2.801892928
Eu2LiRuO6,Eu,Li,Ru,O,0.7500000000000001,0.39148136548700285,0.41301118859080854,0.26623376623376616,0.26945828610053535,0.5114391842335628,0.018833702481361264,0.03202687986895133,0.05483018251436636,0.364705882352941,0.0,0.21391085815655256,0.35407003805541326,0.08695652173913038,0.19249952457049335,0.06338927609602737,1.0,0.19723383066054856,0.7666114796583301,0.19333333333333336,0.39706992773950783,0.7497750398006506,0.4076839369792677,0.5059760956175299,0.26199183787483904,0.25988700564971756,0.2790548455537801,0.06897844070214199,0.6288659793814433,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.29518072288605024,0.47152962413109833,-2.467849122
Cs2LiYCl6,Cs,Li,Y,Cl,0.65,0.12339492640150332,0.5886125673199889,0.0,0.0,0.03978872406369033,0.20040175652270073,0.08321776602972794,0.1357290779012897,1.0,0.0,0.21391085815655256,0.35407003805541326,0.08695652173913038,0.19249952457049335,0.06338927609602737,1.0,0.19723383066054856,0.7666114796583301,0.19333333333333336,0.34575717437431186,0.6089153457465217,0.23706095670113658,0.11553784860557764,0.1271595509404102,0.4180790960451978,0.039515003915197314,0.009999413222665371,0.8247422680412368,0.1754076707223574,1.0,0.41428571428571415,0.2928343337590198,0.0,0.30870922126212885,0.223924268369724,0.782769591009593,-2.483674515
Pb2CaUO6,Pb,Ca,U,O,0.9875000000000002,0.4610084559974945,0.531852585833449,1.0,0.5343381740518687,0.21665247119502212,0.07661423970901698,0.08089090756787445,0.12355115561186616,0.17058823529411749,0.18681318681318684,0.24015078719787122,0.197020555719315,0.09782608695652173,0.3068404158712926,0.25448177814764733,0.01908531355234791,0.4648225537736991,0.23557094677988957,0.52,0.9748117979068502,0.7111857132968782,0.28850202106513434,0.1792828685258963,0.12442219274812516,0.3220338983050848,0.06277129921991409,0.0046222169041531536,0.9175257731958766,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.4397590363045435,0.4646946951753058,-2.77372844
Rb2LuNaCl6,Rb,Lu,Na,Cl,0.42500000000000004,0.12871907297212656,0.5956691988482928,0.01948051948051943,0.04295947404161271,0.046218089762699005,0.2633561251522043,0.13440865219050455,0.19432873258491148,0.7647058823529409,0.7472527472527474,0.5945746174883583,0.25373292126742103,0.24456521739130432,0.19791289972947235,0.48853982454315337,0.053823236461813945,0.036680596792658296,0.01322828447870772,0.4733333333333334,0.06769947262073997,0.18443275420502525,0.2926394285492294,0.0,0.0,0.48587570621468923,0.3255674361632136,0.3892749870554545,0.7731958762886597,0.1754076707223574,1.0,0.41428571428571415,0.2928343337590198,0.0,0.30870922126212885,0.27677108447375,0.6613172271197442,-2.466082921
Sr2CoFeO6,Sr,Co,Fe,O,0.4375,0.34606952709051053,0.3813664099249533,0.10389610389610382,0.27317181043870653,0.4824567629592826,0.015638464592237417,0.08089090756787445,0.2295401341458221,0.44705882352941173,0.26373626373626374,0.5068002069628206,0.36577026751875824,0.5760869565217389,0.5870271671490643,0.44317301801958,0.09926918381899688,0.2321367075883508,0.10631544251343197,0.31333333333333324,0.20629463551267826,0.5267183498304145,0.20154435916601662,0.3585657370517929,0.3259108735703248,0.2740112994350283,0.18602966433491294,0.08516770530461187,0.536082474226804,0.0,0.0,0.6142857142857143,1.0000000000000002,0.040172688025448766,0.7654522092173394,0.2048192775717811,0.6748277384352702,-2.086186315
Rb2NaTmCl6,Rb,Na,Tm,Cl,0.42500000000000004,0.12871907297212656,0.5956691988482928,0.01948051948051943,0.04295947404161271,0.046218089762699005,0.2633561251522043,0.13440865219050455,0.19432873258491148,0.7647058823529409,0.08791208791208793,0.12909305935398033,0.3355143360039905,0.05978260869565222,0.152458995581925,0.03945756325346464,0.5638497024501048,0.32521104606249013,0.3892749870554545,0.4933333333333332,0.6833455384524528,0.3690731639786807,0.40372280423004336,0.12749003984063745,0.12327346940504635,0.4067796610169492,0.039515003915197314,0.03327446879114704,0.7731958762886597,0.1754076707223574,1.0,0.41428571428571415,0.2928343337590198,0.0,0.30870922126212885,0.35996557687132025,0.5821072187906419,-2.466067947
Cs2NaYBr6,Cs,Na,Y,Br,0.65,0.12339492640150332,0.5886125673199889,0.0,0.0,0.03978872406369033,0.20040175652270073,0.08321776602972794,0.1357290779012897,1.0,0.08791208791208793,0.12909305935398033,0.3355143360039905,0.05978260869565222,0.152458995581925,0.03945756325346464,0.5638497024501048,0.32521104606249013,0.3892749870554545,0.4933333333333332,0.34575717437431186,0.6089153457465217,0.23706095670113658,0.11553784860557764,0.1271595509404102,0.4180790960451978,0.039515003915197314,0.009999413222665371,0.8247422680412368,0.5762099063640642,0.8842095805412629,0.27142857142857135,0.1538312405486979,0.25244262667575545,0.15996750556310324,0.32715727787862514,0.6337134503252352,-2.210174023
Rb2ErNaCl6,Rb,Er,Na,Cl,0.42500000000000004,0.12871907297212656,0.5956691988482928,0.01948051948051943,0.04295947404161271,0.046218089762699005,0.2633561251522043,0.13440865219050455,0.19432873258491148,0.7647058823529409,0.7142857142857143,0.49589770123438537,0.2730843333798935,0.2282608695652173,0.30597578001463466,0.4529976767571692,0.019766464376516413,0.034353738330804816,0.02614852013531435,0.5066666666666666,0.06769947262073997,0.18443275420502525,0.2926394285492294,0.0,0.0,0.48587570621468923,0.3255674361632136,0.3892749870554545,0.7731958762886597,0.1754076707223574,1.0,0.41428571428571415,0.2928343337590198,0.0,0.30870922126212885,0.2919449230783535,0.6461945335404448,-2.465030774
Rb2NaYCl6,Rb,Na,Y,Cl,0.42500000000000004,0.12871907297212656,0.5956691988482928,0.01948051948051943,0.04295947404161271,0.046218089762699005,0.2633561251522043,0.13440865219050455,0.19432873258491148,0.7647058823529409,0.08791208791208793,0.12909305935398033,0.3355143360039905,0.05978260869565222,0.152458995581925,0.03945756325346464,0.5638497024501048,0.32521104606249013,0.3892749870554545,0.4933333333333332,0.34575717437431186,0.6089153457465217,0.23706095670113658,0.11553784860557764,0.1271595509404102,0.4180790960451978,0.039515003915197314,0.009999413222665371,0.8247422680412368,0.1754076707223574,1.0,0.41428571428571415,0.2928343337590198,0.0,0.30870922126212885,0.35996557687132025,0.5821072187906419,-2.455178408
