B2_ionic_radius,A_electronegativity,B1_electronegativity,B2_electronegativity,B1_electron_affinity,B2_electron_affinity,X_electron_affinity,B1_first_ionization_energy,X_first_ionization_energy,A_second_ionization_energy,B1_second_ionization_energy,A_melting_point,B1_melting_point,B1_thermal_conductivity,A_boiling_point,B1_boiling_point,X_boiling_point,X_third_ionization_energy,band_gap
0.9,1.2,2.2,0.98,1.5643615,0.61804922,1.4611053,8.96702,13.618055,11.24,17.0,1099.0,2739.0,150.0,1800.0,4701.0,90.2,54.93554,0.0
0.76,1.2,1.91,2.2,1.1571612,1.0463825,1.4611053,7.639878,13.618055,12.076,18.168838,1585.0,1728.0,91.0,3523.0,3186.0,90.2,54.93554,0.0
0.67,1.22,1.66,1.55,0.6758412,-0.52,1.4611053,6.76651,13.618055,12.2236,16.486305,1799.0,2180.0,94.0,3609.0,2944.0,90.2,54.93554,0.9221
0.745,1.2,1.9,1.54,1.235784,0.075545,1.4611053,7.72638,13.618055,11.24,20.29239,1099.0,1357.77,400.0,1800.0,3200.0,90.2,54.93554,0.0
0.805,1.13,1.55,2.28,-0.52,1.142892,1.4611053,7.434038,13.618055,10.631,15.63999,1208.0,1519.0,7.8,3563.0,2334.0,90.2,54.93554,0.3692
0.86,1.2,2.2,1.31,1.5643615,-0.42,1.4611053,8.96702,13.618055,11.24,17.0,1099.0,2739.0,150.0,1800.0,4701.0,90.2,54.93554,0.0
0.76,1.2,0.98,2.2,0.61804922,1.0463825,1.4611053,5.391714996,13.618055,12.076,75.640097,1585.0,453.69,85.0,3523.0,1615.0,90.2,54.93554,0.1637
0.67,1.22,1.88,1.55,0.662265,-0.52,1.4611053,7.88101,13.618055,12.2236,17.0844,1799.0,1768.0,100.0,3609.0,3200.0,90.2,54.93554,0.0
0.745,1.2,1.9,1.54,1.235784,0.075545,1.4611053,7.72638,13.618055,12.076,20.29239,1585.0,1357.77,400.0,3523.0,3200.0,90.2,54.93554,0.0
0.86,1.1,1.0,1.33,0.024551,0.433289,1.4611053,6.11315547,13.618055,11.18496,11.871719,1193.0,1115.0,200.0,3743.0,1757.0,90.2,54.93554,2.2496
